submitted_by_user_login,submission_timestamp_utc,demographic_age,demographic_country,attention_check_passed,item_id,item_type,description,sentences,combined_text,code_key,entity,seed,descriptor,intensity,all_entities,packet_step,user_sentiment_score,user_sentiment_label,sentence_at_step,new_sentence_for_step,descriptor_for_step,intensity_for_step,mark,marks
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",7,-2,Somewhat Negative,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy.","Eventually, it was unhealthy.",negative,strong,Eventually,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",8,-4,Extremely Negative,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic.","Finally, it was pathetic.",negative,very,Finally,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",9,1,Slightly Positive,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.","Currently, it is excellent.",positive,very,Currently,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_7,compound_association,Intra-sentence opposite polarity association (second valence set),"[""Ellis, the gracious and kind person, partnered with Cameron, the repulsive and sickening person all the time.""]","Ellis, the gracious and kind person, partnered with Cameron, the repulsive and sickening person all the time.",actor[[Ellis_very]]+actor[[Cameron_very]]->verb[[partnered with_neutral]],Ellis,491329,"[""positive"", ""negative"", ""neutral""]","[""very"", ""very"", ""neutral""]","[""Ellis"", ""Cameron""]",,1,Slightly Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_7,compound_association,Intra-sentence opposite polarity association (second valence set),"[""Ellis, the gracious and kind person, partnered with Cameron, the repulsive and sickening person all the time.""]","Ellis, the gracious and kind person, partnered with Cameron, the repulsive and sickening person all the time.",actor[[Ellis_very]]+actor[[Cameron_very]]->verb[[partnered with_neutral]],Cameron,491329,"[""positive"", ""negative"", ""neutral""]","[""very"", ""very"", ""neutral""]","[""Ellis"", ""Cameron""]",,-3,Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_9,compound_belonging,Intra-sentence same belonging,"[""The car is pleasant, and its seat is useful.""]","The car is pleasant, and its seat is useful.",parent[[car_moderate]]->child[[seat_moderate]],car,491329,"[""positive"", ""positive""]","[""moderate"", ""moderate""]","[""car"", ""seat""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_9,compound_belonging,Intra-sentence same belonging,"[""The car is pleasant, and its seat is useful.""]","The car is pleasant, and its seat is useful.",parent[[car_moderate]]->child[[seat_moderate]],seat,491329,"[""positive"", ""positive""]","[""moderate"", ""moderate""]","[""car"", ""seat""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_0,compound_action,"Compound-action pattern ['negative', 'negative', 'positive']","[""Shea, the cruel person, rejected Jordan, the thoughtful person.""]","Shea, the cruel person, rejected Jordan, the thoughtful person.",actor[[Shea_very]]->verb[[rejected_moderate]]->target[[Jordan_moderate]],Shea,491329,"[""negative"", ""negative"", ""positive""]","[""very"", ""moderate"", ""moderate""]","[""Shea"", ""Jordan""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_0,compound_action,"Compound-action pattern ['negative', 'negative', 'positive']","[""Shea, the cruel person, rejected Jordan, the thoughtful person.""]","Shea, the cruel person, rejected Jordan, the thoughtful person.",actor[[Shea_very]]->verb[[rejected_moderate]]->target[[Jordan_moderate]],Jordan,491329,"[""negative"", ""negative"", ""positive""]","[""very"", ""moderate"", ""moderate""]","[""Shea"", ""Jordan""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_10,compound_belonging,Intra-sentence opposite belonging (second valence set),"[""The camera was mundane, but the phone was beneficial.""]","The camera was mundane, but the phone was beneficial.",parent[[phone_moderate]]->child[[camera_slight]],phone,491329,"[""positive"", ""negative""]","[""moderate"", ""slight""]","[""phone"", ""camera""]",,1,Slightly Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_10,compound_belonging,Intra-sentence opposite belonging (second valence set),"[""The camera was mundane, but the phone was beneficial.""]","The camera was mundane, but the phone was beneficial.",parent[[phone_moderate]]->child[[camera_slight]],camera,491329,"[""positive"", ""negative""]","[""moderate"", ""slight""]","[""phone"", ""camera""]",,-1,Slightly Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_11,compound_belonging,Intra-sentence same belonging (second valence set),"[""The computer is generic, and its monitor is dreadful.""]","The computer is generic, and its monitor is dreadful.",parent[[computer_slight]]->child[[monitor_very]],computer,491329,"[""negative"", ""negative""]","[""slight"", ""very""]","[""computer"", ""monitor""]",,-2,Somewhat Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_11,compound_belonging,Intra-sentence same belonging (second valence set),"[""The computer is generic, and its monitor is dreadful.""]","The computer is generic, and its monitor is dreadful.",parent[[computer_slight]]->child[[monitor_very]],monitor,491329,"[""negative"", ""negative""]","[""slight"", ""very""]","[""computer"", ""monitor""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_8,compound_belonging,Intra-sentence opposite belonging,"[""The house's roof was competent, though the house itself was awkward.""]","The house's roof was competent, though the house itself was awkward.",parent[[house_moderate]]->child[[roof_moderate]],house,491329,"[""negative"", ""positive""]","[""moderate"", ""moderate""]","[""house"", ""roof""]",,-2,Somewhat Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_belonging_8,compound_belonging,Intra-sentence opposite belonging,"[""The house's roof was competent, though the house itself was awkward.""]","The house's roof was competent, though the house itself was awkward.",parent[[house_moderate]]->child[[roof_moderate]],roof,491329,"[""negative"", ""positive""]","[""moderate"", ""moderate""]","[""house"", ""roof""]",,1,Slightly Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_short_12,aggregate_short,Aggregate packet (3),"[""First, the game was mediocre."", ""Next, it was absolutely perfect."", ""Finally, it is fine.""]","First, the game was mediocre. Next, it was absolutely perfect. Finally, it is fine.",entity[[game_slight]]->entity[[game_very]]->entity[[game_slight]],game,491329,"[""negative"", ""positive"", ""positive""]","[""slight"", ""very"", ""slight""]","[""game""]",1,-1,Slightly Negative,"First, the game was mediocre.","First, the game was mediocre.",negative,slight,First,"[""First"", ""Next"", ""Finally""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_short_12,aggregate_short,Aggregate packet (3),"[""First, the game was mediocre."", ""Next, it was absolutely perfect."", ""Finally, it is fine.""]","First, the game was mediocre. Next, it was absolutely perfect. Finally, it is fine.",entity[[game_slight]]->entity[[game_very]]->entity[[game_slight]],game,491329,"[""negative"", ""positive"", ""positive""]","[""slight"", ""very"", ""slight""]","[""game""]",2,4,Extremely Positive,"First, the game was mediocre. Next, it was absolutely perfect.","Next, it was absolutely perfect.",positive,very,Next,"[""First"", ""Next"", ""Finally""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_short_12,aggregate_short,Aggregate packet (3),"[""First, the game was mediocre."", ""Next, it was absolutely perfect."", ""Finally, it is fine.""]","First, the game was mediocre. Next, it was absolutely perfect. Finally, it is fine.",entity[[game_slight]]->entity[[game_very]]->entity[[game_slight]],game,491329,"[""negative"", ""positive"", ""positive""]","[""slight"", ""very"", ""slight""]","[""game""]",3,3,Positive,"First, the game was mediocre. Next, it was absolutely perfect. Finally, it is fine.","Finally, it is fine.",positive,slight,Finally,"[""First"", ""Next"", ""Finally""]"
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_2,compound_action,"Compound-action pattern ['negative', 'negative', 'negative']","[""Riley, the naive person, violently attacked Addison, the predatory and dangerous person.""]","Riley, the naive person, violently attacked Addison, the predatory and dangerous person.",actor[[Riley_slight]]->verb[[violently attacked_very]]->target[[Addison_strong]],Riley,491329,"[""negative"", ""negative"", ""negative""]","[""slight"", ""very"", ""strong""]","[""Riley"", ""Addison""]",,3,Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_2,compound_action,"Compound-action pattern ['negative', 'negative', 'negative']","[""Riley, the naive person, violently attacked Addison, the predatory and dangerous person.""]","Riley, the naive person, violently attacked Addison, the predatory and dangerous person.",actor[[Riley_slight]]->verb[[violently attacked_very]]->target[[Addison_strong]],Addison,491329,"[""negative"", ""negative"", ""negative""]","[""slight"", ""very"", ""strong""]","[""Riley"", ""Addison""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_5,compound_association,Intra-sentence same direction association,"[""River, the vile and disgusting person, often hung out with Sutton, the angry person.""]","River, the vile and disgusting person, often hung out with Sutton, the angry person.",actor[[River_very]]+actor[[Sutton_moderate]]->verb[[hung out_neutral]],River,491329,"[""negative"", ""negative"", ""neutral""]","[""very"", ""moderate"", ""neutral""]","[""River"", ""Sutton""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_5,compound_association,Intra-sentence same direction association,"[""River, the vile and disgusting person, often hung out with Sutton, the angry person.""]","River, the vile and disgusting person, often hung out with Sutton, the angry person.",actor[[River_very]]+actor[[Sutton_moderate]]->verb[[hung out_neutral]],Sutton,491329,"[""negative"", ""negative"", ""neutral""]","[""very"", ""moderate"", ""neutral""]","[""River"", ""Sutton""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_4,compound_association,Intra-sentence opposite direction association,"[""Sage, the negative person, and Harlow, the nice person, often walked together.""]","Sage, the negative person, and Harlow, the nice person, often walked together.",actor[[Sage_strong]]+actor[[Harlow_moderate]]->verb[[walked_neutral]],Sage,491329,"[""negative"", ""positive"", ""neutral""]","[""strong"", ""moderate"", ""neutral""]","[""Sage"", ""Harlow""]",,-1,Slightly Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_4,compound_association,Intra-sentence opposite direction association,"[""Sage, the negative person, and Harlow, the nice person, often walked together.""]","Sage, the negative person, and Harlow, the nice person, often walked together.",actor[[Sage_strong]]+actor[[Harlow_moderate]]->verb[[walked_neutral]],Harlow,491329,"[""negative"", ""positive"", ""neutral""]","[""strong"", ""moderate"", ""neutral""]","[""Sage"", ""Harlow""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_3,compound_action,"Compound-action pattern ['negative', 'positive', 'negative']","[""Sloane, the corrupt and immoral person, rescued Reese, the abusive and violent person.""]","Sloane, the corrupt and immoral person, rescued Reese, the abusive and violent person.",actor[[Sloane_very]]->verb[[rescued_moderate]]->target[[Reese_strong]],Sloane,491329,"[""negative"", ""positive"", ""negative""]","[""very"", ""moderate"", ""strong""]","[""Sloane"", ""Reese""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_3,compound_action,"Compound-action pattern ['negative', 'positive', 'negative']","[""Sloane, the corrupt and immoral person, rescued Reese, the abusive and violent person.""]","Sloane, the corrupt and immoral person, rescued Reese, the abusive and violent person.",actor[[Sloane_very]]->verb[[rescued_moderate]]->target[[Reese_strong]],Reese,491329,"[""negative"", ""positive"", ""negative""]","[""very"", ""moderate"", ""strong""]","[""Sloane"", ""Reese""]",,-4,Extremely Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_1,compound_action,"Compound-action pattern ['positive', 'negative', 'negative']","[""Rowan, the good natured person, stopped Lane, the cynical person.""]","Rowan, the good natured person, stopped Lane, the cynical person.",actor[[Rowan_strong]]->verb[[stopped_moderate]]->target[[Lane_moderate]],Rowan,491329,"[""positive"", ""negative"", ""negative""]","[""strong"", ""moderate"", ""moderate""]","[""Rowan"", ""Lane""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_action_1,compound_action,"Compound-action pattern ['positive', 'negative', 'negative']","[""Rowan, the good natured person, stopped Lane, the cynical person.""]","Rowan, the good natured person, stopped Lane, the cynical person.",actor[[Rowan_strong]]->verb[[stopped_moderate]]->target[[Lane_moderate]],Lane,491329,"[""positive"", ""negative"", ""negative""]","[""strong"", ""moderate"", ""moderate""]","[""Rowan"", ""Lane""]",,-1,Slightly Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_medium_13,aggregate_medium,Aggregate packet (5),"[""Once, the laptop was gorgeous."", ""Soon after, it was ordinary."", ""For a while, it was horrible."", ""Recently, it was proficient."", ""Now, it is unprofessional.""]","Once, the laptop was gorgeous. Soon after, it was ordinary. For a while, it was horrible. Recently, it was proficient. Now, it is unprofessional.",entity[[laptop_very]]->entity[[laptop_slight]]->entity[[laptop_very]]->entity[[laptop_moderate]]->entity[[laptop_moderate]],laptop,491329,"[""positive"", ""negative"", ""negative"", ""positive"", ""negative""]","[""very"", ""slight"", ""very"", ""moderate"", ""moderate""]","[""laptop""]",1,3,Positive,"Once, the laptop was gorgeous.","Once, the laptop was gorgeous.",positive,very,Once,"[""Once"", ""Soon after"", ""For a while"", ""Recently"", ""Now""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_medium_13,aggregate_medium,Aggregate packet (5),"[""Once, the laptop was gorgeous."", ""Soon after, it was ordinary."", ""For a while, it was horrible."", ""Recently, it was proficient."", ""Now, it is unprofessional.""]","Once, the laptop was gorgeous. Soon after, it was ordinary. For a while, it was horrible. Recently, it was proficient. Now, it is unprofessional.",entity[[laptop_very]]->entity[[laptop_slight]]->entity[[laptop_very]]->entity[[laptop_moderate]]->entity[[laptop_moderate]],laptop,491329,"[""positive"", ""negative"", ""negative"", ""positive"", ""negative""]","[""very"", ""slight"", ""very"", ""moderate"", ""moderate""]","[""laptop""]",2,2,Somewhat Positive,"Once, the laptop was gorgeous. Soon after, it was ordinary.","Soon after, it was ordinary.",negative,slight,Soon after,"[""Once"", ""Soon after"", ""For a while"", ""Recently"", ""Now""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_medium_13,aggregate_medium,Aggregate packet (5),"[""Once, the laptop was gorgeous."", ""Soon after, it was ordinary."", ""For a while, it was horrible."", ""Recently, it was proficient."", ""Now, it is unprofessional.""]","Once, the laptop was gorgeous. Soon after, it was ordinary. For a while, it was horrible. Recently, it was proficient. Now, it is unprofessional.",entity[[laptop_very]]->entity[[laptop_slight]]->entity[[laptop_very]]->entity[[laptop_moderate]]->entity[[laptop_moderate]],laptop,491329,"[""positive"", ""negative"", ""negative"", ""positive"", ""negative""]","[""very"", ""slight"", ""very"", ""moderate"", ""moderate""]","[""laptop""]",3,-3,Negative,"Once, the laptop was gorgeous. Soon after, it was ordinary. For a while, it was horrible.","For a while, it was horrible.",negative,very,For a while,"[""Once"", ""Soon after"", ""For a while"", ""Recently"", ""Now""]"
